subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,dem,rep,net,adjusted_dem,adjusted_rep,adjusted_net,url,createddate,timestamp,modeldate,multiversions,partisan,poll_id,question_id,date
All polls,Cygnal,,6/30/2026,7/1/2026,1500, LV,1.354165,1.239049,,49.9,43.8,6.100002,49.03125,42.01913,7.012119,https://www.cygn.al/wp-content/uploads/2026/07/24136-Cygnal-National-Jul-26-NVT-Deck-Public-1.pdf,7/8/2026,10:00:41 12 Jul 2026,7/12/2026,,,901621,9016211,12jul2026
All polls,Rasmussen Reports,,6/24/2026,7/1/2026,2224, LV,1.212513,1.075992,,46,42,4,47.18314,41.96518,5.21796,https://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot_july07?utm_campaign=RR07072026DN&utm_source=criticalimpact&utm_medium=email,7/8/2026,10:00:41 12 Jul 2026,7/12/2026,,REP,901620,9016201,12jul2026
All polls,Hart Research Associates/Public Opinion Strategies,NBC News,5/29/2026,6/7/2026,3000, RV,1.515747,1.003676,,49,44,5,47.70073,42.55951,5.14122,https://www.nbcnews.com/politics/2026-election/poll-democrats-maintain-edge-fight-congress-trump-gets-poor-marks-rcna348913,6/14/2026,10:00:41 12 Jul 2026,7/12/2026,,,901548,9015484,12jul2026
All polls,Marquette University Law School,,6/9/2026,6/15/2026,827, LV,1.319499,0.9858907,,53,45,8,50.77065,43.50339,7.267258,https://law.marquette.edu/poll/2026/06/24/detailed-results-of-the-marquette-law-school-supreme-court-poll-july-9-15-2026/,6/25/2026,10:00:41 12 Jul 2026,7/12/2026,,,901579,9015795,12jul2026
All polls,Talker Research,Scripps News,6/25/2026,7/2/2026,2000, RV,0.9773859,0.8811406,,48,39,9,48.91533,40.55417,8.36116,https://www.scrippsnews.com/politics/scripps-news-poll-americans-excited-to-celebrate-july-4-but-divided-on-trumps-role,7/3/2026,10:00:41 12 Jul 2026,7/12/2026,,,901606,9016062,12jul2026
All polls,J.L. Partners,Daily Mail,6/24/2026,6/26/2026,625, LV,1.005027,0.8709134,,50,42,8,50.27962,43.19091,7.088711,https://www.dailymail.com/news/article-15945873/The-scorching-midterm-election-poll-shows-blue-wave-cresting-Republicans.html?ico=authors_pagination_desktop,7/6/2026,10:00:41 12 Jul 2026,7/12/2026,,,901612,9016121,12jul2026
All polls,Emerson College,,6/7/2026,6/8/2026,1200, LV,1.157191,0.8139871,,50.3,39.5,10.8,50.68803,40.37704,10.31099,https://emersoncollegepolling.com/june-2026/,6/11/2026,10:00:41 12 Jul 2026,7/12/2026,,,901541,9015412,12jul2026
All polls,TIPP Insights,Issues & Insights,5/26/2026,5/28/2026,1332, RV,1.335038,0.8055826,,46,41,5,47.05765,40.89893,6.158722,https://issuesinsights.com/2026/06/15/does-either-party-have-an-edge-in-2026-midterms-and-2028-presidential-election-ii-tipp-poll/,6/15/2026,10:00:41 12 Jul 2026,7/12/2026,,,901553,9015531,12jul2026
All polls,Quinnipiac University,,6/18/2026,6/22/2026,1165, RV,0.9681957,0.7899393,,49,42,7,48.0411,42.6184,5.422699,https://poll.qu.edu/poll-release?releaseid=3961,6/24/2026,10:00:41 12 Jul 2026,7/12/2026,,,901581,9015813,12jul2026
All polls,Echelon Insights,,6/18/2026,6/22/2026,1003, LV,0.9537903,0.7729026,,51,45,6,50.00652,42.67691,7.329609,https://echeloninsights.com/hubfs/_Media%20for%20Insights%20Blog/Echelon%20Insights%20America%20250%20Survey%20Topline%20-%20External.pdf,6/24/2026,10:00:41 12 Jul 2026,7/12/2026,,,901578,9015782,12jul2026
All polls,Cygnal,,6/2/2026,6/3/2026,1500, LV,1.177449,0.7667722,,49,44,5,48.13125,42.21913,5.912117,https://www.cygn.al/news/poll-independents-arent-who-you-think-they-are-the-left-americas-250-and-who-trump-has-lost-since-the-inauguration/,6/11/2026,10:00:41 12 Jul 2026,7/12/2026,,,901540,9015401,12jul2026
All polls,AlphaROC,Independent Center,6/27/2026,6/28/2026,1000, RV,0.8474652,0.7569949,,43.1,36.5,6.599998,44.25897,37.74465,6.514317,https://independentcentervoice.com/insights/june-2026-national-survey-on-independent-candidates,7/3/2026,10:00:41 12 Jul 2026,7/12/2026,,,901605,9016052,12jul2026
All polls,The Argument/Verasight,,5/29/2026,6/3/2026,3008, RV,1.116109,0.7051978,,53,47,6,50.06788,43.81919,6.248688,https://www.theargumentmag.com/p/the-biggest-issue-in-american-politics,6/10/2026,10:00:41 12 Jul 2026,7/12/2026,,,901533,9015332,12jul2026
All polls,The Winston Group,Winning the Issues,5/30/2026,6/2/2026,1000, RV,1.07212,0.692641,,48,41,7,47.91296,41.20417,6.70879,https://www.winningtheissues.org/2026/06/13/may-2026-winning-the-issues-survey/,7/1/2026,10:00:41 12 Jul 2026,7/12/2026,,,901598,9015982,12jul2026
All polls,Data for Progress,,5/15/2026,6/21/2026,5809, LV,1.03428,0.6896245,,51,44,7,49.78872,43.2359,6.552818,https://www.dataforprogress.org/blog/2026/7/9/midterms-swing-voter-report-1,7/9/2026,10:00:41 12 Jul 2026,7/12/2026,,,901624,9016242,12jul2026
All polls,Echelon Insights,,6/11/2026,6/14/2026,1012, LV,0.926392,0.688624,,50,44,6,49.00652,41.67691,7.329609,https://echeloninsights.com/hubfs/_Media%20for%20Insights%20Blog/June%202026%20Voter%20Omnibus%20Topline%20-%20External.pdf,6/17/2026,10:00:41 12 Jul 2026,7/12/2026,,,901559,9015593,12jul2026
All polls,The New York Times/Siena College,,5/11/2026,5/15/2026,1507, RV,1.416832,0.6819493,,50,39,11,49.47505,38.89869,10.57636,https://www.nytimes.com/interactive/2026/05/18/polls/times-siena-national-poll-toplines.html,5/18/2026,10:00:41 12 Jul 2026,7/12/2026,,,901463,9014633,12jul2026
All polls,Focaldata,Financial Times,6/26/2026,6/30/2026,1795, RV,0.7196407,0.6363273,,49,42,7,48.28867,41.48937,6.799301,https://www.focaldata.com/blog/ossoffism-and-the-gops-elite-problem,7/6/2026,10:00:41 12 Jul 2026,7/12/2026,,,901610,9016104,12jul2026
All polls,Marquette University Law School,,5/20/2026,5/26/2026,576, LV,1.123262,0.6362765,,49,48,1,46.77065,46.50339,0.2672577,https://law.marquette.edu/poll/2026/06/03/detailed-results-of-the-marquette-law-school-supreme-court-poll-may-20-26-2026-national-issues/,6/3/2026,10:00:41 12 Jul 2026,7/12/2026,,,901511,9015115,12jul2026
All polls,Clarity Campaign Labs,,5/28/2026,6/5/2026,1045, LV,0.9527815,0.6098131,,48,45,3,46.83289,44.04789,2.785,https://www.claritycampaigns.com/clarity-omnibus-2026-may,6/13/2026,10:00:41 12 Jul 2026,7/12/2026,,,901547,9015473,12jul2026
All polls,Quantus Insights,,7/3/2026,7/7/2026,1140, LV,0.6220928,0.5923004,,47.1,42.3,4.799999,47.76804,42.17703,5.591011,https://quantusinsights.org/polling/f/trump-approval-and-wrong-track-majority-gives-democrats-2026-edge,7/9/2026,10:00:41 12 Jul 2026,7/12/2026,,,901623,9016232,12jul2026
All polls,Research Co.,,6/4/2026,6/6/2026,1001, A,0.8606199,0.591756,,38,33,5,40.53309,35.43967,5.093418,https://researchco.ca/2026/06/15/uspoli-june2026/,6/15/2026,10:00:41 12 Jul 2026,7/12/2026,,,901554,9015542,12jul2026
All polls,Emerson College,,5/24/2026,5/25/2026,1000, LV,1.027917,0.5890701,,49.8,41.3,8.5,50.18803,42.17704,8.01099,https://emersoncollegepolling.com/may-2026-national-poll/,5/28/2026,10:00:41 12 Jul 2026,7/12/2026,,,901495,9014952,12jul2026
All polls,AtlasIntel,,5/4/2026,5/7/2026,2069, A,1.315043,0.5525814,,54.6,40.1,14.5,51.41299,40.87658,10.53641,https://www.atlasintel.org/poll/usa-national-2026-05-11,5/12/2026,10:00:41 12 Jul 2026,7/12/2026,,,901449,9014493,12jul2026
All polls,Rasmussen Reports,,5/13/2026,5/20/2026,2161, LV,1.080442,0.5234857,,47,41,6,48.18314,40.96518,7.21796,https://www.rasmussenreports.com/public_content/politics/mood_of_america/generic_congressional_ballot_may25,6/10/2026,10:00:41 12 Jul 2026,7/12/2026,,REP,901534,9015341,12jul2026
All polls,RMG Research,Napolitan News Service,6/1/2026,6/4/2026,2000, RV,0.802263,0.5157053,,49,45,4,49.60431,42.72566,6.878651,https://napolitannews.org/posts/generic-ballot-dem-49-percent-gop-45-dems-more-enthusiastic,6/5/2026,10:00:41 12 Jul 2026,7/12/2026,,,901520,9015201,12jul2026
All polls,The Rainey Center,,5/17/2026,5/18/2026,1000, LV,0.9496727,0.5019052,,45,43,2,45.78882,42.69948,3.08934,https://www.raineycenter.org/polling/data-centers-voters-are-persuadable-but-they-want-accountability-and-clean-energy,6/19/2026,10:00:41 12 Jul 2026,7/12/2026,,,901568,9015681,12jul2026
All polls,Verasight,Strength in Numbers,6/17/2026,6/22/2026,1896, RV,0.605825,0.4874879,,50,43,7,48.22161,43.20653,5.015079,https://www.gelliottmorris.com/p/2026-06-24-june-strength-in-numbers-verasight-poll,6/24/2026,10:00:41 12 Jul 2026,7/12/2026,,,901580,9015804,12jul2026
All polls,The Bullfinch Group,Independent Center,6/12/2026,6/16/2026,1000, RV,0.625823,0.4778854,,44,36,8,46.26762,39.7532,6.51442,https://independentcentervoice.com/insights/the-local-antidote-how-stepping-away-from-national-screens-unites-americans,6/19/2026,10:00:41 12 Jul 2026,7/12/2026,,,901569,9015696,12jul2026
All polls,Quinnipiac University,,5/14/2026,5/18/2026,1106, RV,0.9092394,0.4443116,,50,39,11,49.0411,39.6184,9.422699,https://poll.qu.edu/poll-release?releaseid=3959,5/21/2026,10:00:41 12 Jul 2026,7/12/2026,,,901477,9014773,12jul2026
All polls,Impact Research/National Research ,Wall Street Journal,5/7/2026,5/18/2026,1500, RV,0.9035828,0.4310051,,48,40,8,48.13729,40.20343,7.933861,https://www.wsj.com/politics/policy/trump-republican-congress-control-98a13bd9,5/24/2026,10:00:41 12 Jul 2026,7/12/2026,,,901486,9014864,12jul2026
All polls,Public Opinion Strategies,CoinDesk,4/21/2026,4/27/2026,1000, RV,1.202772,0.4253517,,44,41,3,44.92799,40.84655,4.08144,https://www.coindesk.com/policy/2026/05/03/crypto-is-at-the-bottom-of-u-s-voters-priorities-heading-into-the-midterm-coindesk-survey-shows,5/4/2026,10:00:41 12 Jul 2026,7/12/2026,,,901419,9014191,12jul2026
All polls,Cygnal,Conservative Energy Network,5/4/2026,5/7/2026,1500, LV,1.083374,0.4129668,,48,41,7,47.30867,39.04171,8.26696,https://conservativeenergynetwork.org/new-national-poll-americans-demand-action-on-rising-energy-costs-support-modernizing-the-grid-and-expanding-domestic-energy-production/,5/27/2026,10:00:41 12 Jul 2026,7/12/2026,,REP,901493,9014931,12jul2026
All polls,Cygnal,,5/5/2026,5/6/2026,1500, LV,1.083374,0.4129668,,48.5,42.4,6.099998,47.63125,40.61913,7.012119,https://www.cygn.al/polls/may-2026-national-voter-trends-nvt-poll/,5/13/2026,10:00:41 12 Jul 2026,7/12/2026,,,901455,9014552,12jul2026
All polls,Quantus Insights,,6/16/2026,6/17/2026,1000, LV,0.525453,0.4102673,,47,43,4,47.66804,42.87703,4.791012,https://polls.quantusinsights.org/polls/national-approval-june-17?tab=toplines,6/19/2026,10:00:41 12 Jul 2026,7/12/2026,,,901566,9015662,12jul2026
All polls,Echelon Insights,,5/14/2026,5/18/2026,1008, LV,0.8541979,0.4036077,,51,43,8,50.00652,40.67691,9.329609,https://echeloninsights.com/insights/may-2026-verified-voter-omnibus,5/19/2026,10:00:41 12 Jul 2026,7/12/2026,,,901468,9014682,12jul2026
All polls,Marist University,NPR | PBS News,4/27/2026,4/30/2026,1155, RV,1.104741,0.3959894,,52,42,10,49.48592,41.95445,7.531471,https://maristpoll.marist.edu/polls/president-trump-while-at-war-may-2026/,5/6/2026,10:00:41 12 Jul 2026,7/12/2026,,,901433,9014334,12jul2026
All polls,The Bullfinch Group,Independent Center,5/29/2026,6/2/2026,1000, RV,0.6165401,0.3914834,,42,36,6,44.26762,39.7532,4.51442,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q2-nationwide-survey-4,6/4/2026,10:00:41 12 Jul 2026,7/12/2026,,,901514,9015144,12jul2026
All polls,John Zogby Strategies,,5/21/2026,5/22/2026,1000, LV,0.7335356,0.3904738,,49.2,42,7.200001,49.35626,41.40987,7.946388,https://johnzogbystrategies.com/the-latest-zogby-political-poll-trump-economic-concerns-war-trends-05-22-26/,5/22/2026,10:00:41 12 Jul 2026,7/12/2026,,,901484,9014842,12jul2026
All polls,Beacon Research/Shaw & Company Research,FOX News,4/17/2026,4/20/2026,1001, RV,1.132059,0.3687913,,52,47,5,50.36244,45.97638,4.386059,https://www.foxnews.com/politics/fox-news-poll-economic-gloom-trump-ratings-signal-tough-gop-midterm-path,4/23/2026,10:00:41 12 Jul 2026,7/12/2026,,,901387,9013872,12jul2026
All polls,Ipsos,Reuters,6/3/2026,6/8/2026,3578, RV,0.5419575,0.3597348,,41,37,4,46.08403,40.60213,5.481899,https://www.ipsos.com/en-us/reutersipsos-june-2026-poll,6/8/2026,10:00:41 12 Jul 2026,7/12/2026,,,901524,9015245,12jul2026
All polls,McLaughlin & Associates,,6/17/2026,6/23/2026,1000, LV,0.4482157,0.3583695,,46,43,3,47.73037,41.34558,6.384789,https://mclaughlinonline.com/pols/wp-content/uploads/2026/06/National-June-Presentation-RELEASE-June-2026.pdf,6/26/2026,10:00:41 12 Jul 2026,7/12/2026,,,901590,9015901,12jul2026
All polls,Focaldata,Financial Times,5/29/2026,6/1/2026,1537, RV,0.5640408,0.3482211,,48,43,5,47.28867,42.48937,4.799301,https://www.focaldata.com/blog/trump-inflation-approval-crashes-to-record-low,6/7/2026,10:00:41 12 Jul 2026,7/12/2026,,,901521,9015214,12jul2026
All polls,GBAO,Third Way,4/8/2026,4/15/2026,2000, RV,1.12634,0.3395579,,48,40,8,47.84251,40.47169,7.370819,https://www.thirdway.org/memo/the-cost-of-misplaced-priorities-trumps-coalition-frays,5/12/2026,10:00:41 12 Jul 2026,7/12/2026,,,901453,9014532,12jul2026
All polls,YouGov,Economist,7/3/2026,7/6/2026,1443, RV,0.3567502,0.3379815,,46,43,3,48.60889,44.83174,3.777149,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Qxo6bev.pdf,7/7/2026,10:00:41 12 Jul 2026,7/12/2026,,,901614,9016144,12jul2026
All polls,Marquette University Law School,,4/8/2026,4/16/2026,576, LV,1.161184,0.3379508,,53,43,10,50.77065,41.50339,9.267258,https://law.marquette.edu/poll/2026/04/22/detailed-results-of-the-marquette-law-school-supreme-court-poll-april-8-16-2026-national-issues/,4/22/2026,10:00:41 12 Jul 2026,7/12/2026,,,901385,9013855,12jul2026
All polls,Quantus Insights,,6/1/2026,6/2/2026,1050, LV,0.522335,0.332148,,47,42.3,4.700001,47.66804,42.17703,5.491013,https://quantusinsights.org/f/quantus-insights-trump-underwater-democrats-hold-edge,6/4/2026,10:00:41 12 Jul 2026,7/12/2026,,,901513,9015132,12jul2026
All polls,Emerson College,,4/24/2026,4/26/2026,1000, LV,1.031239,0.3269062,,50.3,40.2,10.1,50.68803,41.07704,9.610989,https://emersoncollegepolling.com/april-2026-national-poll/,4/29/2026,10:00:41 12 Jul 2026,7/12/2026,,,901405,9014052,12jul2026
All polls,KFF,,4/14/2026,4/19/2026,1107, RV,1.009139,0.3172765,,43,34,9,43.66327,35.4655,8.197769,https://www.kff.org/public-opinion/kff-health-tracking-poll-health-care-costs-and-the-midterms/,4/29/2026,10:00:41 12 Jul 2026,7/12/2026,,,901407,9014071,12jul2026
All polls,Ipsos,Reuters,6/18/2026,6/22/2026,978, RV,0.3797286,0.3031558,,41,36,5,46.08403,39.60213,6.481899,https://www.ipsos.com/en-us/few-expect-us-iran-preliminary-agreement-bring-lasting-peace,6/24/2026,10:00:41 12 Jul 2026,7/12/2026,,,901577,9015774,12jul2026
All polls,Hart Research Associates/Public Opinion Strategies,CNBC,4/15/2026,4/19/2026,1000, RV,0.9969628,0.2971327,,49,45,4,47.70073,43.55951,4.14122,https://www.cnbc.com/2026/04/23/trumps-approval-rating-on-economy-and-overall-falls-to-lowest-of-his-two-terms-cnbc-survey-shows.html,4/23/2026,10:00:41 12 Jul 2026,7/12/2026,,,901388,9013882,12jul2026
All polls,Echelon Insights,NetChoice,4/3/2026,4/9/2026,2880, LV,1.206935,0.2948355,,50,45,5,49.00652,42.67691,6.329609,https://netchoice.org/wp-content/uploads/2026/04/NetChoice-Apr-2026-National-Antitrust-Survey-Topline.pdf,4/21/2026,10:00:41 12 Jul 2026,7/12/2026,,,901377,9013772,12jul2026
All polls,Data for Progress,,5/15/2026,5/18/2026,1149, LV,0.5741796,0.2911838,,51,43,8,49.78872,42.2359,7.552818,https://www.dataforprogress.org/blog/2026/5/21/democrats-lead-the-generic-ballot-by-8-points-as-midterms-approach,5/21/2026,10:00:41 12 Jul 2026,7/12/2026,,,901478,90147813,12jul2026
All polls,Ipsos,Reuters,6/12/2026,6/15/2026,1195, RV,0.3812768,0.2820799,,41,38,3,46.08403,41.60213,4.481899,https://www.ipsos.com/en-us/reutersipsos-june-2026-poll-0,6/15/2026,10:00:41 12 Jul 2026,7/12/2026,,,901555,9015554,12jul2026
All polls,Clarity Campaign Labs,,4/15/2026,4/24/2026,1000, LV,0.9220691,0.279206,,50,45,5,48.83289,44.04789,4.785,https://www.claritycampaigns.com/clarity-omnibus-2026-april,5/5/2026,10:00:41 12 Jul 2026,7/12/2026,,,901432,9014322,12jul2026
All polls,YouGov,Economist,6/26/2026,6/29/2026,1428, RV,0.3124422,0.2735123,,45,42,3,47.60889,43.83174,3.777149,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_1tbbxVr.pdf,6/30/2026,10:00:41 12 Jul 2026,7/12/2026,,,901596,9015966,12jul2026
All polls,HarrisX,Forbes,5/20/2026,6/7/2026,1137, LV,0.4554771,0.2709523,,46,45,1,44.96877,41.88641,3.082359,https://www.harrisx.com/content/forbes-harrisx-american-confidence-tracker-june-2026,6/12/2026,10:00:41 12 Jul 2026,7/12/2026,,,901545,9015456,12jul2026
All polls,HarrisX/Harris Poll,Harvard CAPS,5/29/2026,5/31/2026,, LV,0.4366355,0.2637781,,52,48,4,50.96877,44.88641,6.082359,https://harvardharrispoll.com/key-results-may-2026/,6/2/2026,10:00:41 12 Jul 2026,7/12/2026,,,901509,9015095,12jul2026
All polls,RMG Research,Napolitan News Service,5/4/2026,5/6/2026,2000, RV,0.6908138,0.2488295,,50,41,9,50.60431,38.72566,11.87865,https://napolitannews.org/posts/generic-ballot-dem-50-percent-gop-41-dems-also-more-enthusiastic,5/8/2026,10:00:41 12 Jul 2026,7/12/2026,,,901441,9014411,12jul2026
All polls,Cygnal,,4/2/2026,4/3/2026,1500, LV,1.082544,0.2441285,,48.8,43.3,5.5,47.93125,41.51913,6.412121,https://www.cygn.al/wp-content/uploads/2026/04/23738-Cygnal-National-Apr26-NVT-Deck-Public.pdf,4/8/2026,10:00:41 12 Jul 2026,7/12/2026,,,901340,9013402,12jul2026
All polls,Focaldata,Financial Times,5/1/2026,5/5/2026,3167, RV,0.7553061,0.2439423,,49,42,7,48.28867,41.48937,6.799301,https://www.focaldata.com/blog/democrats-lead-economy-focaldata-financial-times-poll,5/11/2026,10:00:41 12 Jul 2026,7/12/2026,,,901444,9014444,12jul2026
All polls,Change Research,,5/5/2026,5/10/2026,2244, RV,0.6293745,0.2416439,,45,42,3,46.2399,42.10289,4.137009,https://portal.changeresearch.com/portal/projects/07dc6ff6-bb96-4bc5-a138-90b0ab3b22db,6/15/2026,10:00:41 12 Jul 2026,7/12/2026,,,901552,9015522,12jul2026
All polls,CNN/SSRS,,4/30/2026,5/4/2026,1156, RV,0.655331,0.2362373,,45,42,3,44.70988,41.49395,3.215931,https://www.cnn.com/2026/05/12/politics/cnn-poll-midterms-affordability-politics-impact,5/12/2026,10:00:41 12 Jul 2026,7/12/2026,,,901448,9014483,12jul2026
All polls,Echelon Insights,,4/17/2026,4/20/2026,1012, LV,0.8122284,0.2347787,,50,44,6,49.00652,41.67691,7.329609,https://echeloninsights.com/insights/april-2026-verified-voter-omnibus,4/21/2026,10:00:41 12 Jul 2026,7/12/2026,,,901381,9013813,12jul2026
All polls,Morning Consult,Cato Institute,6/29/2026,7/5/2026,24000, RV,0.2549613,0.2337728,,45.4,42.1,3.300003,47.51842,41.87692,5.641502,https://pro-assets.morningconsult.com/wp-uploads/2026/07/MCPI-Midterm-Ballot_260706.html,7/7/2026,10:00:41 12 Jul 2026,7/12/2026,,,901617,9016171,12jul2026
All polls,Tavern Research,,4/6/2026,4/9/2026,502, LV,0.8057504,0.2325386,,44,43,1,44.89027,42.78119,2.109081,https://www.tavernresearch.com/research-and-writings/cutting-room-floor-april-10-2026,5/12/2026,10:00:41 12 Jul 2026,7/12/2026,,,901452,9014521,12jul2026
All polls,YouGov,Economist,6/19/2026,6/22/2026,1517, RV,0.2854232,0.2298178,,45,43,2,47.60889,44.83174,2.777149,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_v8p0Pe8.pdf,6/23/2026,10:00:41 12 Jul 2026,7/12/2026,,,901575,9015755,12jul2026
All polls,The Argument/Verasight,,4/20/2026,4/23/2026,1516, RV,0.7832735,0.226464,,53,47,6,50.06788,43.81919,6.248688,https://www.theargumentmag.com/p/why-democrats-cant-win-more-trump,4/29/2026,10:00:41 12 Jul 2026,7/12/2026,,,901406,9014062,12jul2026
All polls,Noble Predictive Insights,Center Square,3/2/2026,3/5/2026,2659, RV,1.46966,0.2139873,,44,43,1,44.94811,43.0332,1.914909,https://www.thecentersquare.com/national/article_c3795c17-be14-4566-a625-eb38b4ffc1bf.html,3/14/2026,10:00:41 12 Jul 2026,7/12/2026,,,901204,9012042,12jul2026
All polls,Verasight,Strength in Numbers,5/18/2026,5/19/2026,1413, RV,0.4249876,0.2120536,,51,43,8,49.22161,43.20653,6.015079,https://www.gelliottmorris.com/p/2026-05-26-may-strength-in-numbers-verasight-poll,5/26/2026,10:00:41 12 Jul 2026,7/12/2026,,,901490,9014904,12jul2026
All polls,Survey160,,4/9/2026,4/12/2026,1539, RV,0.7271129,0.2091407,,47,37,10,47.25875,39.04055,8.218201,https://www.survey160.com/methodological-research-blog/survey-160-tracking-poll-april-2026,4/23/2026,10:00:41 12 Jul 2026,7/12/2026,,,901389,9013892,12jul2026
All polls,Verasight/Morris Predictive Insights,Unite Here,5/18/2026,5/20/2026,2000, A,0.4094482,0.2043,,52,41,11,50.22161,41.20653,9.015079,https://www.politico.com/newsletters/playbook/2026/05/22/pod-save-nobody-00933436,5/22/2026,10:00:41 12 Jul 2026,7/12/2026,,,901483,9014832,12jul2026
All polls,Yale University Institution for Social and Policy Studies,,3/9/2026,3/23/2026,3429, RV,1.03154,0.1944899,,46,43.7,2.299999,47.00957,43.72232,3.287251,https://youthpoll.yale.edu/spring-2026-results,4/13/2026,10:00:41 12 Jul 2026,7/12/2026,,,901353,9013532,12jul2026
All polls,Quinnipiac University,,3/19/2026,3/23/2026,1191, RV,0.9992313,0.1932276,,51,40,11,50.0411,40.6184,9.422699,https://poll.qu.edu/poll-release?releaseid=3953,3/25/2026,10:00:41 12 Jul 2026,7/12/2026,,,901302,9013023,12jul2026
All polls,Morning Consult,,6/22/2026,6/28/2026,24000, RV,0.224804,0.190199,,45.5,42.4,3.099998,47.61842,42.17693,5.44149,https://pro-assets.morningconsult.com/wp-uploads/2026/07/MCPI-Midterm-Ballot_260701.html,7/2/2026,10:00:41 12 Jul 2026,7/12/2026,,,901600,9016001,12jul2026
All polls,Rasmussen Reports,,3/16/2026,3/19/2026,2222, LV,1.141837,0.1884461,,45,42,3,46.18314,41.96518,4.21796,https://www.rasmussenreports.com/platinum/political_tracking_crosstabs/march_2026/crosstabs_generic_congressional_ballot_march_16_19_and_22_23_2026#google_vignette,3/26/2026,10:00:41 12 Jul 2026,7/12/2026,,REP,901306,9013061,12jul2026
All polls,John Zogby Strategies,,4/17/2026,4/18/2026,1001, LV,0.6499239,0.1883515,,48.3,44.4,3.899998,48.45626,43.80988,4.646381,https://johnzogbystrategies.com/wp-content/uploads/2026/04/Brand-New-Zogby-Poll-Amid-War-Confusion-04.20.26.html,4/21/2026,10:00:41 12 Jul 2026,7/12/2026,,,901370,9013702,12jul2026
All polls,Quantus Insights,,4/21/2026,4/23/2026,1452, LV,0.6588155,0.1882958,,46.5,42.3,4.200001,47.16804,42.17703,4.991013,https://quantusinsights.org/f/quantus-survey-a-divided-electorate-a-narrow-democratic-edge,4/24/2026,10:00:41 12 Jul 2026,7/12/2026,,,901394,9013942,12jul2026
All polls,YouGov,Economist,6/13/2026,6/15/2026,1403, RV,0.2516917,0.1851526,,46,44,2,48.60889,45.83174,2.777149,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_GpnDRNm.pdf,6/16/2026,10:00:41 12 Jul 2026,7/12/2026,,,901557,9015575,12jul2026
All polls,Impact Research/BSP Research,"Third Way, UnidosUS",3/10/2026,3/20/2026,1000, LV,0.9496727,0.1814188,,45,41,4,45.73775,41.29605,4.4417,https://www.thirdway.org/memo/president-trumps-immigration-problem,4/16/2026,10:00:41 12 Jul 2026,7/12/2026,,,901360,9013601,12jul2026
All polls,The Winston Group,Winning the Issues,3/15/2026,3/17/2026,1000, RV,1.017411,0.1812842,,49,40,9,49.23775,39.87938,9.358372,https://www.winningtheissues.org/wp-content/uploads/2026/04/March-2026-Winning-the-Issues-Survey.pdf,4/9/2026,10:00:41 12 Jul 2026,7/12/2026,,REP,901343,9013432,12jul2026
All polls,Emerson College,,3/16/2026,3/17/2026,1000, LV,1.017992,0.1755053,,49.2,41.5,7.700001,49.58803,42.37704,7.210991,https://emersoncollegepolling.com/march-2026-national-poll-47-oppose-us-military-action-in-iran-40-support/,3/20/2026,10:00:41 12 Jul 2026,7/12/2026,,,901231,9012312,12jul2026
All polls,Morning Consult,,6/15/2026,6/21/2026,29540, RV,0.225096,0.1743262,,45.6,42,3.599998,47.71842,41.77692,5.941498,https://pro-assets.morningconsult.com/wp-uploads/2026/06/MCPI-Midterm-Ballot_260622.html,6/25/2026,10:00:41 12 Jul 2026,7/12/2026,,,901585,9015851,12jul2026
All polls,HarrisX,Forbes,4/29/2026,5/5/2026,1891, LV,0.5002853,0.1673137,,48,42,6,46.96877,38.88641,8.082359,https://www.harrisx.com/posts/forbes-and-harrisx-partner-on-new-american-confidence-survey-as-gallup-ends-approval-polling,5/5/2026,10:00:41 12 Jul 2026,7/12/2026,,,901435,9014356,12jul2026
All polls,McLaughlin & Associates,America's New Majority Project,5/14/2026,5/18/2026,2000, RV,0.3436489,0.1592829,,39,36,3,40.91015,34.16581,6.744339,https://www.americasnewmajorityproject.net/p/democrat-lawmakers-are-taking-positions,6/17/2026,10:00:41 12 Jul 2026,7/12/2026,,REP,901560,9015601,12jul2026
All polls,RMG Research,Napolitan News Service,4/6/2026,4/9/2026,2000, RV,0.6686751,0.1565945,,49,44,5,49.60431,41.72566,7.878651,https://napolitannews.org/posts/generic-ballot-dem-45-percent-gop-42-dems-also-more-enthusiastic,4/10/2026,10:00:41 12 Jul 2026,7/12/2026,,,901349,9013491,12jul2026
All polls,YouGov,Economist,6/5/2026,6/8/2026,1438, RV,0.2347454,0.1564236,,45,41,4,47.60889,42.83174,4.777149,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_nvajahp.pdf,6/9/2026,10:00:41 12 Jul 2026,7/12/2026,,,901525,9015254,12jul2026
